mode,size_MB,bytes,repeat,write_output,real_s,user_s,sys_s
ecb,1,1048576,1,true,1.04,0.00,0.02
ecb,1,1048576,2,true,0.02,0.01,0.00
ecb,1,1048576,3,true,0.00,0.00,0.00
ecb,10,10485760,1,true,0.16,0.02,0.02
ecb,10,10485760,2,true,0.03,0.00,0.02
ecb,10,10485760,3,true,0.03,0.00,0.02
ecb,20,20971520,1,true,0.09,0.01,0.02
ecb,20,20971520,2,true,0.04,0.00,0.03
ecb,20,20971520,3,true,0.03,0.01,0.02
ecb,30,31457280,1,true,0.07,0.02,0.04
ecb,30,31457280,2,true,0.05,0.00,0.04
ecb,30,31457280,3,true,0.05,0.02,0.02
ecb,40,41943040,1,true,0.09,0.02,0.06
ecb,40,41943040,2,true,0.09,0.04,0.05
ecb,40,41943040,3,true,0.06,0.02,0.04
ecb,50,52428800,1,true,0.17,0.03,0.05
ecb,50,52428800,2,true,0.20,0.04,0.12
ecb,50,52428800,3,true,0.17,0.02,0.10
ecb,60,62914560,1,true,0.25,0.06,0.08
ecb,60,62914560,2,true,0.18,0.06,0.09
ecb,60,62914560,3,true,0.23,0.05,0.10
ecb,70,73400320,1,true,0.27,0.06,0.09
ecb,70,73400320,2,true,0.34,0.12,0.10
ecb,70,73400320,3,true,0.35,0.08,0.14
ecb,80,83886080,1,true,0.37,0.11,0.13
ecb,80,83886080,2,true,0.33,0.08,0.14
ecb,80,83886080,3,true,0.36,0.08,0.15
ecb,90,94371840,1,true,3.13,0.25,0.36
ecb,90,94371840,2,true,0.18,0.07,0.10
ecb,90,94371840,3,true,0.21,0.04,0.16
ecb,100,104857600,1,true,3.16,0.17,0.47
ecb,100,104857600,2,true,0.26,0.08,0.17
ecb,100,104857600,3,true,0.18,0.08,0.09
cbc,1,1048576,1,true,0.04,0.00,0.00
cbc,1,1048576,2,true,0.04,0.02,0.01
cbc,1,1048576,3,true,0.02,0.01,0.00
cbc,10,10485760,1,true,0.11,0.03,0.03
cbc,10,10485760,2,true,0.06,0.03,0.02
cbc,10,10485760,3,true,0.04,0.01,0.02
cbc,20,20971520,1,true,0.37,0.12,0.07
cbc,20,20971520,2,true,0.05,0.02,0.02
cbc,20,20971520,3,true,0.05,0.03,0.01
cbc,30,31457280,1,true,0.33,0.10,0.10
cbc,30,31457280,2,true,0.09,0.07,0.02
cbc,30,31457280,3,true,0.67,0.11,0.09
cbc,40,41943040,1,true,0.84,0.17,0.15
cbc,40,41943040,2,true,0.11,0.06,0.05
cbc,40,41943040,3,true,0.11,0.06,0.04
cbc,50,52428800,1,true,0.13,0.07,0.06
cbc,50,52428800,2,true,0.13,0.08,0.03
cbc,50,52428800,3,true,0.13,0.09,0.03
cbc,60,62914560,1,true,0.16,0.09,0.07
cbc,60,62914560,2,true,0.16,0.10,0.05
cbc,60,62914560,3,true,0.15,0.08,0.07
cbc,70,73400320,1,true,0.17,0.11,0.06
cbc,70,73400320,2,true,0.17,0.10,0.07
cbc,70,73400320,3,true,0.20,0.09,0.10
cbc,80,83886080,1,true,0.24,0.12,0.09
cbc,80,83886080,2,true,0.35,0.15,0.12
cbc,80,83886080,3,true,0.28,0.12,0.13
cbc,90,94371840,1,true,2.63,0.45,0.35
cbc,90,94371840,2,true,0.23,0.11,0.11
cbc,90,94371840,3,true,0.22,0.10,0.11
cbc,100,104857600,1,true,3.35,0.43,0.32
cbc,100,104857600,2,true,0.23,0.12,0.11
cbc,100,104857600,3,true,0.27,0.15,0.12
cfb,1,1048576,1,true,0.01,0.00,0.00
cfb,1,1048576,2,true,0.00,0.00,0.00
cfb,1,1048576,3,true,0.01,0.00,0.00
cfb,10,10485760,1,true,0.16,0.02,0.02
cfb,10,10485760,2,true,0.10,0.05,0.05
cfb,10,10485760,3,true,0.03,0.02,0.01
cfb,20,20971520,1,true,0.89,0.11,0.07
cfb,20,20971520,2,true,0.06,0.05,0.01
cfb,20,20971520,3,true,0.06,0.02,0.03
cfb,30,31457280,1,true,0.13,0.07,0.04
cfb,30,31457280,2,true,0.09,0.04,0.04
cfb,30,31457280,3,true,0.09,0.04,0.04
cfb,40,41943040,1,true,0.15,0.09,0.04
cfb,40,41943040,2,true,0.13,0.07,0.05
cfb,40,41943040,3,true,0.13,0.08,0.05
cfb,50,52428800,1,true,0.16,0.08,0.08
cfb,50,52428800,2,true,0.44,0.19,0.06
cfb,50,52428800,3,true,0.15,0.11,0.04
cfb,60,62914560,1,true,0.18,0.09,0.08
cfb,60,62914560,2,true,0.27,0.11,0.09
cfb,60,62914560,3,true,0.18,0.12,0.05
cfb,70,73400320,1,true,0.23,0.14,0.08
cfb,70,73400320,2,true,0.24,0.13,0.11
cfb,70,73400320,3,true,0.37,0.18,0.11
cfb,80,83886080,1,true,0.53,0.24,0.12
cfb,80,83886080,2,true,0.64,0.25,0.15
cfb,80,83886080,3,true,0.62,0.31,0.11
cfb,90,94371840,1,true,2.20,0.55,0.32
cfb,90,94371840,2,true,0.28,0.16,0.12
cfb,90,94371840,3,true,0.29,0.20,0.09
cfb,100,104857600,1,true,1.50,0.46,0.22
cfb,100,104857600,2,true,0.29,0.20,0.09
cfb,100,104857600,3,true,0.30,0.21,0.09
