algorithm,mode,openssl_name,size_MB,bytes,repeat,write_output,real_s,user_s,sys_s
AES,ecb,aes-128-ecb,1,1048576,1,true,0.10,0.02,0.00
AES,ecb,aes-128-ecb,1,1048576,2,true,0.03,0.01,0.00
AES,ecb,aes-128-ecb,1,1048576,3,true,0.01,0.01,0.00
AES,ecb,aes-128-ecb,10,10485760,1,true,0.02,0.01,0.00
AES,ecb,aes-128-ecb,10,10485760,2,true,0.05,0.01,0.01
AES,ecb,aes-128-ecb,10,10485760,3,true,0.02,0.01,0.00
AES,ecb,aes-128-ecb,20,20971520,1,true,0.03,0.02,0.01
AES,ecb,aes-128-ecb,20,20971520,2,true,0.03,0.00,0.03
AES,ecb,aes-128-ecb,20,20971520,3,true,0.03,0.01,0.01
AES,ecb,aes-128-ecb,30,31457280,1,true,0.05,0.02,0.02
AES,ecb,aes-128-ecb,30,31457280,2,true,0.05,0.00,0.04
AES,ecb,aes-128-ecb,30,31457280,3,true,0.05,0.01,0.03
AES,ecb,aes-128-ecb,40,41943040,1,true,0.06,0.02,0.03
AES,ecb,aes-128-ecb,40,41943040,2,true,0.06,0.00,0.05
AES,ecb,aes-128-ecb,40,41943040,3,true,0.06,0.02,0.03
AES,ecb,aes-128-ecb,50,52428800,1,true,0.18,0.04,0.04
AES,ecb,aes-128-ecb,50,52428800,2,true,0.23,0.05,0.03
AES,ecb,aes-128-ecb,50,52428800,3,true,0.30,0.02,0.08
AES,ecb,aes-128-ecb,60,62914560,1,true,0.30,0.03,0.07
AES,ecb,aes-128-ecb,60,62914560,2,true,0.31,0.04,0.08
AES,ecb,aes-128-ecb,60,62914560,3,true,0.30,0.03,0.06
AES,ecb,aes-128-ecb,70,73400320,1,true,0.35,0.08,0.06
AES,ecb,aes-128-ecb,70,73400320,2,true,0.48,0.09,0.11
AES,ecb,aes-128-ecb,70,73400320,3,true,0.75,0.14,0.15
AES,ecb,aes-128-ecb,80,83886080,1,true,1.19,0.17,0.25
AES,ecb,aes-128-ecb,80,83886080,2,true,1.09,0.14,0.21
AES,ecb,aes-128-ecb,80,83886080,3,true,0.43,0.07,0.10
AES,ecb,aes-128-ecb,90,94371840,1,true,0.53,0.08,0.11
AES,ecb,aes-128-ecb,90,94371840,2,true,0.98,0.16,0.25
AES,ecb,aes-128-ecb,90,94371840,3,true,1.08,0.16,0.26
AES,ecb,aes-128-ecb,100,104857600,1,true,0.82,0.16,0.17
AES,ecb,aes-128-ecb,100,104857600,2,true,2.78,0.18,0.27
AES,ecb,aes-128-ecb,100,104857600,3,true,0.41,0.11,0.16
AES,cbc,aes-128-cbc,1,1048576,1,true,0.02,0.00,0.00
AES,cbc,aes-128-cbc,1,1048576,2,true,0.06,0.00,0.00
AES,cbc,aes-128-cbc,1,1048576,3,true,0.03,0.00,0.00
AES,cbc,aes-128-cbc,10,10485760,1,true,0.79,0.02,0.02
AES,cbc,aes-128-cbc,10,10485760,2,true,0.03,0.01,0.02
AES,cbc,aes-128-cbc,10,10485760,3,true,0.03,0.01,0.02
AES,cbc,aes-128-cbc,20,20971520,1,true,1.13,0.05,0.05
AES,cbc,aes-128-cbc,20,20971520,2,true,0.06,0.03,0.02
AES,cbc,aes-128-cbc,20,20971520,3,true,0.05,0.04,0.00
AES,cbc,aes-128-cbc,30,31457280,1,true,0.21,0.04,0.05
AES,cbc,aes-128-cbc,30,31457280,2,true,0.07,0.06,0.01
AES,cbc,aes-128-cbc,30,31457280,3,true,0.08,0.04,0.04
AES,cbc,aes-128-cbc,40,41943040,1,true,1.56,0.09,0.08
AES,cbc,aes-128-cbc,40,41943040,2,true,0.13,0.05,0.07
AES,cbc,aes-128-cbc,40,41943040,3,true,0.10,0.06,0.04
AES,cbc,aes-128-cbc,50,52428800,1,true,0.93,0.18,0.14
AES,cbc,aes-128-cbc,50,52428800,2,true,0.15,0.07,0.07
AES,cbc,aes-128-cbc,50,52428800,3,true,0.12,0.07,0.04
AES,cbc,aes-128-cbc,60,62914560,1,true,2.46,0.08,0.10
AES,cbc,aes-128-cbc,60,62914560,2,true,0.14,0.08,0.06
AES,cbc,aes-128-cbc,60,62914560,3,true,0.14,0.06,0.07
AES,cbc,aes-128-cbc,70,73400320,1,true,2.32,0.21,0.13
AES,cbc,aes-128-cbc,70,73400320,2,true,0.17,0.12,0.05
AES,cbc,aes-128-cbc,70,73400320,3,true,0.16,0.09,0.07
AES,cbc,aes-128-cbc,80,83886080,1,true,0.93,0.16,0.14
AES,cbc,aes-128-cbc,80,83886080,2,true,0.19,0.11,0.08
AES,cbc,aes-128-cbc,80,83886080,3,true,0.18,0.10,0.08
AES,cbc,aes-128-cbc,90,94371840,1,true,4.23,0.40,0.27
AES,cbc,aes-128-cbc,90,94371840,2,true,0.25,0.10,0.14
AES,cbc,aes-128-cbc,90,94371840,3,true,0.22,0.12,0.09
AES,cbc,aes-128-cbc,100,104857600,1,true,1.66,0.23,0.22
AES,cbc,aes-128-cbc,100,104857600,2,true,0.23,0.15,0.07
AES,cbc,aes-128-cbc,100,104857600,3,true,0.23,0.13,0.09
AES,cfb,aes-128-cfb,1,1048576,1,true,0.01,0.00,0.00
AES,cfb,aes-128-cfb,1,1048576,2,true,0.01,0.00,0.00
AES,cfb,aes-128-cfb,1,1048576,3,true,0.01,0.01,0.00
AES,cfb,aes-128-cfb,10,10485760,1,true,0.03,0.02,0.01
AES,cfb,aes-128-cfb,10,10485760,2,true,0.03,0.02,0.00
AES,cfb,aes-128-cfb,10,10485760,3,true,0.03,0.02,0.01
AES,cfb,aes-128-cfb,20,20971520,1,true,0.06,0.04,0.02
AES,cfb,aes-128-cfb,20,20971520,2,true,0.10,0.04,0.04
AES,cfb,aes-128-cfb,20,20971520,3,true,0.14,0.09,0.03
AES,cfb,aes-128-cfb,30,31457280,1,true,0.15,0.07,0.02
AES,cfb,aes-128-cfb,30,31457280,2,true,0.16,0.06,0.05
AES,cfb,aes-128-cfb,30,31457280,3,true,0.17,0.07,0.03
AES,cfb,aes-128-cfb,40,41943040,1,true,0.27,0.09,0.04
AES,cfb,aes-128-cfb,40,41943040,2,true,0.43,0.12,0.07
AES,cfb,aes-128-cfb,40,41943040,3,true,0.44,0.13,0.04
AES,cfb,aes-128-cfb,50,52428800,1,true,0.64,0.15,0.10
AES,cfb,aes-128-cfb,50,52428800,2,true,0.55,0.13,0.07
AES,cfb,aes-128-cfb,50,52428800,3,true,0.55,0.16,0.06
AES,cfb,aes-128-cfb,60,62914560,1,true,0.68,0.18,0.09
AES,cfb,aes-128-cfb,60,62914560,2,true,1.04,0.24,0.11
AES,cfb,aes-128-cfb,60,62914560,3,true,1.11,0.29,0.14
AES,cfb,aes-128-cfb,70,73400320,1,true,0.89,0.30,0.13
AES,cfb,aes-128-cfb,70,73400320,2,true,0.43,0.13,0.08
AES,cfb,aes-128-cfb,70,73400320,3,true,0.43,0.18,0.07
AES,cfb,aes-128-cfb,80,83886080,1,true,0.49,0.20,0.08
AES,cfb,aes-128-cfb,80,83886080,2,true,0.39,0.19,0.07
AES,cfb,aes-128-cfb,80,83886080,3,true,0.36,0.18,0.06
AES,cfb,aes-128-cfb,90,94371840,1,true,0.55,0.23,0.06
AES,cfb,aes-128-cfb,90,94371840,2,true,0.87,0.23,0.13
AES,cfb,aes-128-cfb,90,94371840,3,true,1.08,0.31,0.16
AES,cfb,aes-128-cfb,100,104857600,1,true,1.21,0.31,0.17
AES,cfb,aes-128-cfb,100,104857600,2,true,0.80,0.37,0.11
AES,cfb,aes-128-cfb,100,104857600,3,true,0.61,0.24,0.13
DES,ecb,des-ecb,1,1048576,1,true,0.10,0.03,0.00
DES,ecb,des-ecb,1,1048576,2,true,0.02,0.02,0.00
DES,ecb,des-ecb,1,1048576,3,true,0.02,0.02,0.00
DES,ecb,des-ecb,10,10485760,1,true,0.19,0.17,0.01
DES,ecb,des-ecb,10,10485760,2,true,0.18,0.16,0.01
DES,ecb,des-ecb,10,10485760,3,true,0.18,0.16,0.01
DES,ecb,des-ecb,20,20971520,1,true,0.37,0.34,0.02
DES,ecb,des-ecb,20,20971520,2,true,0.37,0.34,0.02
DES,ecb,des-ecb,20,20971520,3,true,0.36,0.33,0.03
DES,ecb,des-ecb,30,31457280,1,true,0.54,0.48,0.05
DES,ecb,des-ecb,30,31457280,2,true,0.55,0.50,0.05
DES,ecb,des-ecb,30,31457280,3,true,0.54,0.50,0.03
DES,ecb,des-ecb,40,41943040,1,true,0.71,0.67,0.04
DES,ecb,des-ecb,40,41943040,2,true,0.72,0.69,0.03
DES,ecb,des-ecb,40,41943040,3,true,0.73,0.70,0.03
DES,ecb,des-ecb,50,52428800,1,true,0.89,0.82,0.07
DES,ecb,des-ecb,50,52428800,2,true,0.89,0.83,0.05
DES,ecb,des-ecb,50,52428800,3,true,0.89,0.86,0.03
DES,ecb,des-ecb,60,62914560,1,true,1.07,0.98,0.08
DES,ecb,des-ecb,60,62914560,2,true,1.08,1.01,0.06
DES,ecb,des-ecb,60,62914560,3,true,1.06,1.01,0.05
DES,ecb,des-ecb,70,73400320,1,true,1.24,1.16,0.07
DES,ecb,des-ecb,70,73400320,2,true,1.27,1.21,0.05
DES,ecb,des-ecb,70,73400320,3,true,1.24,1.15,0.09
DES,ecb,des-ecb,80,83886080,1,true,1.43,1.32,0.09
DES,ecb,des-ecb,80,83886080,2,true,1.41,1.32,0.08
DES,ecb,des-ecb,80,83886080,3,true,1.43,1.36,0.06
DES,ecb,des-ecb,90,94371840,1,true,1.60,1.52,0.08
DES,ecb,des-ecb,90,94371840,2,true,1.60,1.47,0.12
DES,ecb,des-ecb,90,94371840,3,true,1.60,1.48,0.12
DES,ecb,des-ecb,100,104857600,1,true,1.76,1.60,0.16
DES,ecb,des-ecb,100,104857600,2,true,1.75,1.61,0.13
DES,ecb,des-ecb,100,104857600,3,true,1.86,1.71,0.09
DES,cbc,des-cbc,1,1048576,1,true,0.02,0.01,0.00
DES,cbc,des-cbc,1,1048576,2,true,0.02,0.01,0.00
DES,cbc,des-cbc,1,1048576,3,true,0.02,0.02,0.00
DES,cbc,des-cbc,10,10485760,1,true,0.19,0.18,0.01
DES,cbc,des-cbc,10,10485760,2,true,0.19,0.17,0.01
DES,cbc,des-cbc,10,10485760,3,true,0.19,0.17,0.01
DES,cbc,des-cbc,20,20971520,1,true,0.39,0.36,0.02
DES,cbc,des-cbc,20,20971520,2,true,0.38,0.35,0.02
DES,cbc,des-cbc,20,20971520,3,true,0.38,0.34,0.03
DES,cbc,des-cbc,30,31457280,1,true,0.58,0.54,0.03
DES,cbc,des-cbc,30,31457280,2,true,0.58,0.55,0.02
DES,cbc,des-cbc,30,31457280,3,true,0.57,0.55,0.01
DES,cbc,des-cbc,40,41943040,1,true,0.79,0.70,0.05
DES,cbc,des-cbc,40,41943040,2,true,0.76,0.70,0.05
DES,cbc,des-cbc,40,41943040,3,true,0.75,0.70,0.05
DES,cbc,des-cbc,50,52428800,1,true,0.96,0.91,0.04
DES,cbc,des-cbc,50,52428800,2,true,0.95,0.88,0.06
DES,cbc,des-cbc,50,52428800,3,true,0.96,0.89,0.07
DES,cbc,des-cbc,60,62914560,1,true,1.23,1.15,0.06
DES,cbc,des-cbc,60,62914560,2,true,1.16,1.08,0.06
DES,cbc,des-cbc,60,62914560,3,true,1.15,1.08,0.06
DES,cbc,des-cbc,70,73400320,1,true,1.37,1.27,0.09
DES,cbc,des-cbc,70,73400320,2,true,1.35,1.27,0.07
DES,cbc,des-cbc,70,73400320,3,true,1.33,1.23,0.09
DES,cbc,des-cbc,80,83886080,1,true,1.52,1.42,0.09
DES,cbc,des-cbc,80,83886080,2,true,1.51,1.40,0.10
DES,cbc,des-cbc,80,83886080,3,true,1.51,1.43,0.07
DES,cbc,des-cbc,90,94371840,1,true,1.69,1.55,0.13
DES,cbc,des-cbc,90,94371840,2,true,1.95,1.64,0.07
DES,cbc,des-cbc,90,94371840,3,true,1.71,1.60,0.11
DES,cbc,des-cbc,100,104857600,1,true,1.90,1.82,0.07
DES,cbc,des-cbc,100,104857600,2,true,1.89,1.76,0.13
DES,cbc,des-cbc,100,104857600,3,true,1.91,1.77,0.14
DES,cfb,des-cfb,1,1048576,1,true,0.02,0.02,0.00
DES,cfb,des-cfb,1,1048576,2,true,0.02,0.02,0.00
DES,cfb,des-cfb,1,1048576,3,true,0.02,0.02,0.00
DES,cfb,des-cfb,10,10485760,1,true,0.21,0.19,0.01
DES,cfb,des-cfb,10,10485760,2,true,0.21,0.19,0.01
DES,cfb,des-cfb,10,10485760,3,true,0.21,0.20,0.01
DES,cfb,des-cfb,20,20971520,1,true,0.41,0.38,0.03
DES,cfb,des-cfb,20,20971520,2,true,0.41,0.39,0.02
DES,cfb,des-cfb,20,20971520,3,true,0.41,0.39,0.02
DES,cfb,des-cfb,30,31457280,1,true,0.63,0.60,0.02
DES,cfb,des-cfb,30,31457280,2,true,0.63,0.59,0.03
DES,cfb,des-cfb,30,31457280,3,true,0.64,0.60,0.03
DES,cfb,des-cfb,40,41943040,1,true,0.83,0.79,0.04
DES,cfb,des-cfb,40,41943040,2,true,0.82,0.78,0.03
DES,cfb,des-cfb,40,41943040,3,true,0.84,0.79,0.04
DES,cfb,des-cfb,50,52428800,1,true,1.12,1.00,0.05
DES,cfb,des-cfb,50,52428800,2,true,1.05,0.99,0.05
DES,cfb,des-cfb,50,52428800,3,true,1.04,0.95,0.08
DES,cfb,des-cfb,60,62914560,1,true,1.25,1.18,0.06
DES,cfb,des-cfb,60,62914560,2,true,1.25,1.17,0.07
DES,cfb,des-cfb,60,62914560,3,true,1.26,1.15,0.08
DES,cfb,des-cfb,70,73400320,1,true,1.45,1.34,0.11
DES,cfb,des-cfb,70,73400320,2,true,1.44,1.37,0.06
DES,cfb,des-cfb,70,73400320,3,true,1.45,1.37,0.07
DES,cfb,des-cfb,80,83886080,1,true,1.66,1.57,0.09
DES,cfb,des-cfb,80,83886080,2,true,1.66,1.55,0.11
DES,cfb,des-cfb,80,83886080,3,true,1.80,1.60,0.10
DES,cfb,des-cfb,90,94371840,1,true,1.86,1.74,0.11
DES,cfb,des-cfb,90,94371840,2,true,1.87,1.76,0.10
DES,cfb,des-cfb,90,94371840,3,true,2.10,1.77,0.12
DES,cfb,des-cfb,100,104857600,1,true,2.08,1.95,0.13
DES,cfb,des-cfb,100,104857600,2,true,2.11,1.95,0.14
DES,cfb,des-cfb,100,104857600,3,true,2.08,1.94,0.13
TDES,ecb,des-ede3,1,1048576,1,true,0.05,0.04,0.00
TDES,ecb,des-ede3,1,1048576,2,true,0.05,0.04,0.00
TDES,ecb,des-ede3,1,1048576,3,true,0.05,0.04,0.00
TDES,ecb,des-ede3,10,10485760,1,true,0.46,0.44,0.02
TDES,ecb,des-ede3,10,10485760,2,true,0.48,0.46,0.01
TDES,ecb,des-ede3,10,10485760,3,true,0.47,0.46,0.00
TDES,ecb,des-ede3,20,20971520,1,true,0.98,0.91,0.02
TDES,ecb,des-ede3,20,20971520,2,true,0.95,0.89,0.03
TDES,ecb,des-ede3,20,20971520,3,true,0.93,0.89,0.04
TDES,ecb,des-ede3,30,31457280,1,true,1.37,1.31,0.05
TDES,ecb,des-ede3,30,31457280,2,true,1.44,1.38,0.06
TDES,ecb,des-ede3,30,31457280,3,true,1.43,1.37,0.05
TDES,ecb,des-ede3,40,41943040,1,true,1.84,1.80,0.03
TDES,ecb,des-ede3,40,41943040,2,true,1.85,1.80,0.04
TDES,ecb,des-ede3,40,41943040,3,true,1.83,1.77,0.05
TDES,ecb,des-ede3,50,52428800,1,true,2.29,2.23,0.05
TDES,ecb,des-ede3,50,52428800,2,true,2.30,2.18,0.11
TDES,ecb,des-ede3,50,52428800,3,true,2.30,2.24,0.06
TDES,ecb,des-ede3,60,62914560,1,true,2.81,2.73,0.07
TDES,ecb,des-ede3,60,62914560,2,true,2.78,2.69,0.08
TDES,ecb,des-ede3,60,62914560,3,true,2.73,2.64,0.08
TDES,ecb,des-ede3,70,73400320,1,true,3.20,3.09,0.10
TDES,ecb,des-ede3,70,73400320,2,true,3.22,3.13,0.09
TDES,ecb,des-ede3,70,73400320,3,true,3.39,3.19,0.05
TDES,ecb,des-ede3,80,83886080,1,true,3.78,3.67,0.10
TDES,ecb,des-ede3,80,83886080,2,true,3.92,3.73,0.14
TDES,ecb,des-ede3,80,83886080,3,true,3.88,3.68,0.11
TDES,ecb,des-ede3,90,94371840,1,true,4.26,4.08,0.17
TDES,ecb,des-ede3,90,94371840,2,true,4.03,3.88,0.13
TDES,ecb,des-ede3,90,94371840,3,true,4.45,4.31,0.11
TDES,ecb,des-ede3,100,104857600,1,true,5.04,4.74,0.19
TDES,ecb,des-ede3,100,104857600,2,true,4.96,4.76,0.12
TDES,ecb,des-ede3,100,104857600,3,true,5.08,4.80,0.15
TDES,cbc,des-ede3-cbc,1,1048576,1,true,0.05,0.04,0.00
TDES,cbc,des-ede3-cbc,1,1048576,2,true,0.05,0.04,0.00
