cipher,size_MB,bytes,repeat,write_output,real_s,user_s,sys_s
des-ecb,1,1048576,1,true,0.06,0.02,0.01
des-ecb,1,1048576,2,true,0.03,0.01,0.01
des-ecb,1,1048576,3,true,0.03,0.01,0.01
des-ecb,10,10485760,1,true,0.49,0.24,0.03
des-ecb,10,10485760,2,true,0.25,0.22,0.02
des-ecb,10,10485760,3,true,0.21,0.18,0.02
des-ecb,20,20971520,1,true,0.54,0.40,0.05
des-ecb,20,20971520,2,true,0.41,0.39,0.02
des-ecb,20,20971520,3,true,0.42,0.37,0.04
des-ecb,30,31457280,1,true,1.04,0.81,0.04
des-ecb,30,31457280,2,true,0.67,0.60,0.05
des-ecb,30,31457280,3,true,0.59,0.55,0.03
des-ecb,40,41943040,1,true,0.92,0.80,0.06
des-ecb,40,41943040,2,true,0.80,0.73,0.06
des-ecb,40,41943040,3,true,0.79,0.73,0.05
des-ecb,50,52428800,1,true,0.98,0.92,0.05
des-ecb,50,52428800,2,true,0.96,0.89,0.07
des-ecb,50,52428800,3,true,1.07,0.96,0.09
des-ecb,60,62914560,1,true,1.58,1.16,0.18
des-ecb,60,62914560,2,true,1.24,1.14,0.08
des-ecb,60,62914560,3,true,1.22,1.14,0.08
des-ecb,70,73400320,1,true,3.93,1.62,0.20
des-ecb,70,73400320,2,true,1.49,1.33,0.13
des-ecb,70,73400320,3,true,1.45,1.33,0.09
des-ecb,80,83886080,1,true,3.16,1.61,0.11
des-ecb,80,83886080,2,true,1.66,1.51,0.13
des-ecb,80,83886080,3,true,1.60,1.44,0.14
des-ecb,90,94371840,1,true,1.79,1.63,0.13
des-ecb,90,94371840,2,true,2.20,1.70,0.16
des-ecb,90,94371840,3,true,1.80,1.65,0.14
des-ecb,100,104857600,1,true,3.00,2.14,0.21
des-ecb,100,104857600,2,true,2.13,1.88,0.20
des-ecb,100,104857600,3,true,2.13,1.98,0.09
des-cbc,1,1048576,1,true,0.03,0.02,0.00
des-cbc,1,1048576,2,true,0.03,0.01,0.01
des-cbc,1,1048576,3,true,0.03,0.02,0.00
des-cbc,10,10485760,1,true,0.77,0.36,0.06
des-cbc,10,10485760,2,true,0.22,0.19,0.02
des-cbc,10,10485760,3,true,0.19,0.18,0.01
des-cbc,20,20971520,1,true,0.44,0.37,0.05
des-cbc,20,20971520,2,true,0.43,0.39,0.03
des-cbc,20,20971520,3,true,0.43,0.38,0.04
des-cbc,30,31457280,1,true,0.77,0.63,0.04
des-cbc,30,31457280,2,true,0.62,0.56,0.06
des-cbc,30,31457280,3,true,0.62,0.58,0.04
des-cbc,40,41943040,1,true,0.81,0.77,0.04
des-cbc,40,41943040,2,true,0.83,0.77,0.06
des-cbc,40,41943040,3,true,0.84,0.77,0.06
des-cbc,50,52428800,1,true,1.03,0.96,0.06
des-cbc,50,52428800,2,true,1.03,0.93,0.10
des-cbc,50,52428800,3,true,1.05,0.94,0.09
des-cbc,60,62914560,1,true,1.30,1.10,0.16
des-cbc,60,62914560,2,true,1.23,1.15,0.07
des-cbc,60,62914560,3,true,1.31,1.18,0.10
des-cbc,70,73400320,1,true,1.54,1.36,0.14
des-cbc,70,73400320,2,true,1.54,1.40,0.10
des-cbc,70,73400320,3,true,1.57,1.40,0.13
des-cbc,80,83886080,1,true,2.06,1.65,0.19
des-cbc,80,83886080,2,true,1.84,1.56,0.18
des-cbc,80,83886080,3,true,1.76,1.55,0.14
des-cbc,90,94371840,1,true,2.04,1.80,0.11
des-cbc,90,94371840,2,true,1.84,1.74,0.10
des-cbc,90,94371840,3,true,1.84,1.71,0.13
des-cbc,100,104857600,1,true,2.33,1.92,0.21
des-cbc,100,104857600,2,true,2.03,1.94,0.09
des-cbc,100,104857600,3,true,2.04,1.93,0.09
des-cfb,1,1048576,1,true,0.03,0.02,0.00
des-cfb,1,1048576,2,true,0.02,0.01,0.00
des-cfb,1,1048576,3,true,0.02,0.02,0.00
des-cfb,10,10485760,1,true,0.29,0.19,0.04
des-cfb,10,10485760,2,true,0.23,0.22,0.00
des-cfb,10,10485760,3,true,0.22,0.20,0.02
des-cfb,20,20971520,1,true,0.67,0.46,0.03
des-cfb,20,20971520,2,true,0.46,0.44,0.02
des-cfb,20,20971520,3,true,0.45,0.41,0.03
des-cfb,30,31457280,1,true,0.94,0.72,0.02
des-cfb,30,31457280,2,true,0.69,0.63,0.05
des-cfb,30,31457280,3,true,0.67,0.62,0.04
des-cfb,40,41943040,1,true,1.12,0.89,0.06
des-cfb,40,41943040,2,true,0.89,0.82,0.07
des-cfb,40,41943040,3,true,0.89,0.82,0.07
des-cfb,50,52428800,1,true,1.13,1.05,0.07
des-cfb,50,52428800,2,true,1.12,1.05,0.06
des-cfb,50,52428800,3,true,1.12,1.06,0.05
des-cfb,60,62914560,1,true,1.34,1.24,0.09
des-cfb,60,62914560,2,true,1.33,1.25,0.07
des-cfb,60,62914560,3,true,1.34,1.21,0.12
des-cfb,70,73400320,1,true,1.59,1.53,0.05
des-cfb,70,73400320,2,true,1.56,1.45,0.10
des-cfb,70,73400320,3,true,1.58,1.47,0.11
des-cfb,80,83886080,1,true,1.95,1.72,0.17
des-cfb,80,83886080,2,true,1.88,1.71,0.12
des-cfb,80,83886080,3,true,1.90,1.71,0.13
des-cfb,90,94371840,1,true,2.07,1.89,0.15
des-cfb,90,94371840,2,true,2.04,1.87,0.16
des-cfb,90,94371840,3,true,1.99,1.85,0.14
des-cfb,100,104857600,1,true,2.24,2.09,0.14
des-cfb,100,104857600,2,true,2.21,2.06,0.14
des-cfb,100,104857600,3,true,2.30,2.10,0.18
