cipher,size_MB,bytes,repeat,write_output,real_s,user_s,sys_s
des-ede3,1,1048576,1,true,0.14,0.06,0.01
des-ede3,1,1048576,2,true,0.05,0.04,0.00
des-ede3,1,1048576,3,true,0.05,0.05,0.00
des-ede3,10,10485760,1,true,0.48,0.45,0.02
des-ede3,10,10485760,2,true,0.49,0.47,0.01
des-ede3,10,10485760,3,true,0.48,0.47,0.00
des-ede3,20,20971520,1,true,0.93,0.90,0.03
des-ede3,20,20971520,2,true,1.02,0.92,0.03
des-ede3,20,20971520,3,true,0.97,0.93,0.03
des-ede3,30,31457280,1,true,1.39,1.35,0.03
des-ede3,30,31457280,2,true,1.43,1.41,0.01
des-ede3,30,31457280,3,true,1.44,1.41,0.02
des-ede3,40,41943040,1,true,1.96,1.90,0.06
des-ede3,40,41943040,2,true,1.94,1.87,0.06
des-ede3,40,41943040,3,true,1.97,1.89,0.05
des-ede3,50,52428800,1,true,2.50,2.38,0.10
des-ede3,50,52428800,2,true,2.47,2.34,0.10
des-ede3,50,52428800,3,true,2.45,2.38,0.06
des-ede3,60,62914560,1,true,3.01,2.87,0.09
des-ede3,60,62914560,2,true,3.08,2.83,0.15
des-ede3,60,62914560,3,true,2.95,2.82,0.11
des-ede3,70,73400320,1,true,3.51,3.30,0.18
des-ede3,70,73400320,2,true,3.59,3.37,0.19
des-ede3,70,73400320,3,true,3.49,3.36,0.11
des-ede3,80,83886080,1,true,3.97,3.85,0.10
des-ede3,80,83886080,2,true,4.05,3.84,0.13
des-ede3,80,83886080,3,true,4.02,3.87,0.10
des-ede3,90,94371840,1,true,5.10,4.57,0.20
des-ede3,90,94371840,2,true,4.69,4.48,0.16
des-ede3,90,94371840,3,true,4.58,4.31,0.21
des-ede3,100,104857600,1,true,5.51,5.03,0.16
des-ede3,100,104857600,2,true,4.92,4.71,0.18
des-ede3,100,104857600,3,true,4.87,4.68,0.18
des-ede3-cbc,1,1048576,1,true,0.06,0.05,0.00
des-ede3-cbc,1,1048576,2,true,0.05,0.05,0.00
des-ede3-cbc,1,1048576,3,true,0.05,0.04,0.01
des-ede3-cbc,10,10485760,1,true,0.51,0.48,0.02
des-ede3-cbc,10,10485760,2,true,0.53,0.49,0.01
des-ede3-cbc,10,10485760,3,true,0.52,0.50,0.02
des-ede3-cbc,20,20971520,1,true,1.00,0.93,0.06
des-ede3-cbc,20,20971520,2,true,1.03,1.01,0.01
des-ede3-cbc,20,20971520,3,true,1.07,1.03,0.02
des-ede3-cbc,30,31457280,1,true,1.53,1.46,0.06
des-ede3-cbc,30,31457280,2,true,1.46,1.41,0.05
des-ede3-cbc,30,31457280,3,true,1.47,1.42,0.04
